teamIDretro,teamID,teamIDBR,franchID,name
CHA,CHA,CHW,CHW,Chicago White Sox
CLE,CLE,CLE,CLE,Cleveland Blues
DET,DET,DET,DET,Detroit Tigers
MLA,MLA,MLA,BAL,Milwaukee Brewers
PHA,PHA,PHA,OAK,Philadelphia Athletics
WS1,WS1,WSH,MIN,Washington Senators
CLE,CLE,CLE,CLE,Cleveland Bronchos
SLA,SLA,SLB,BAL,St. Louis Browns
CHN,CHN,CHC,CHC,Chicago Cubs
CLE,CLE,CLE,CLE,Cleveland Naps
NYA,NYA,NYY,NYY,New York Highlanders
BSN,BSN,BSN,ATL,Boston Doves
BOS,BOS,BOS,BOS,Boston Red Sox
BRO,BRO,BRO,LAD,Brooklyn Dodgers
BSN,BSN,BSN,ATL,Boston Rustlers
BSN,BSN,BSN,ATL,Boston Braves
NYA,NYA,NYY,NYY,New York Yankees
BLF,BLF,BAL,BLT,Baltimore Terrapins
BRF,BRF,BTT,BTT,Brooklyn Tip-Tops
BRO,BRO,BRO,LAD,Brooklyn Robins
BUF,BUF,BUF,BFL,Buffalo Buffeds
CHF,CHF,CHI,CHH,Chicago Chi-Feds
IND,IND,IND,NEW,Indianapolis Hoosiers
KCF,KCF,KCP,KCP,Kansas City Packers
PTF,PTF,PBS,PBS,Pittsburgh Rebels
SLF,SLF,SLM,SLI,St. Louis Terriers
BUF,BUF,BUF,BFL,Buffalo Blues
CHF,CHF,CHI,CHH,Chicago Whales
CLE,CLE,CLE,CLE,Cleveland Indians
NEW,NEW,NEW,NEW,Newark Pepper
BSN,BSN,BSN,ATL,Boston Bees
PHI,PHI,PHI,PHI,Philadelphia Blue Jays
MLN,ML1,MLN,ATL,Milwaukee Braves
BAL,BAL,BAL,BAL,Baltimore Orioles
CIN,CIN,CIN,CIN,Cincinnati Redlegs
KC1,KC1,KCA,OAK,Kansas City Athletics
LAN,LAN,LAD,LAD,Los Angeles Dodgers
SFN,SFN,SFG,SFG,San Francisco Giants
LAA,LAA,LAA,ANA,Los Angeles Angels
MIN,MIN,MIN,MIN,Minnesota Twins
WS2,WS2,WSA,TEX,Washington Senators
HOU,HOU,HOU,HOU,Houston Colt .45's
NYN,NYN,NYM,NYM,New York Mets
CAL,CAL,CAL,ANA,California Angels
HOU,HOU,HOU,HOU,Houston Astros
ATL,ATL,ATL,ATL,Atlanta Braves
OAK,OAK,OAK,OAK,Oakland Athletics
KCA,KCA,KCR,KCR,Kansas City Royals
MON,MON,MON,WSN,Montreal Expos
SDN,SDN,SDP,SDP,San Diego Padres
SE1,SE1,SEP,MIL,Seattle Pilots
MIL,ML4,MIL,MIL,Milwaukee Brewers
TEX,TEX,TEX,TEX,Texas Rangers
SEA,SEA,SEA,SEA,Seattle Mariners
TOR,TOR,TOR,TOR,Toronto Blue Jays
COL,COL,COL,COL,Colorado Rockies
FLO,FLO,FLA,FLA,Florida Marlins
ANA,ANA,ANA,ANA,Anaheim Angels
ARI,ARI,ARI,ARI,Arizona Diamondbacks
MIL,MIL,MIL,MIL,Milwaukee Brewers
TBA,TBA,TBD,TBD,Tampa Bay Devil Rays
ANA,LAA,LAA,ANA,Los Angeles Angels of Anaheim
WAS,WAS,WSN,WSN,Washington Nationals
TBA,TBA,TBR,TBD,Tampa Bay Rays

MIA,MIA,MIA,FLA,Miami Marlins
