ID,Name,play_debut
ainsk001,Kurt Ainsworth,09/05/2001
aitcr101,Raleigh Aitchison,04/19/1911
aitog101,George Aiton,06/29/1912
ake-j101,John Ake,05/12/1884
akerb101,Bill Akers,09/08/1929
akerd001,Darrel Akerfelds,08/01/1986
akerj101,Jerry Akers,05/04/1912
akerj102,Jack Aker,05/03/1964
akink001,Keegan Akin,08/14/2020
akiys001,Shogo Akiyama,07/24/2020
alanr001,R.J. Alaniz,04/12/2019
albag001,Gibson Alba,05/03/1988
albaj001,Jonathan Albaladejo,09/05/2007
albaj101,Joe Albanese,07/18/1958
albea001,Andrew Albers,08/06/2013
albeb101,Butch Alberts,09/07/1978
albec101,Cy Alberts,09/17/1910
albeg101,Gus Alberts,05/01/1884
albeh001,Hanser Alberto,05/29/2015
albej001,Jose Alberro,04/27/1995
albem001,Matt Albers,07/25/2006
albio001,Ozzie Albies,08/01/2017
alboe101,Ed Albosta,09/03/1941
albre101,Ed Albrecht,10/02/1949
albrj101,Jack Albright,05/19/1947
albua001,Al Alburquerque,04/15/2011
albuv101,Vic Albury,08/07/1973
alcaa001,Arismendy Alcantara,07/09/2014
alcai001,Israel Alcantara,06/25/2000
alcaj001,Jorge Alcala,09/21/2019
alcal101,Luis Alcaraz,09/13/1967
alcar001,Raul Alcantara,09/05/2016
alcas001,Sandy Alcantara,09/03/2017
alcas002,Sergio Alcantara,09/06/2020
alcas101,Santo Alcala,04/10/1976
alcav001,Victor Alcantara,09/05/2017
alcos101,Scotty Alcock,04/19/1914
alded101,Dale Alderson,09/18/1943
aldrc001,Cory Aldridge,09/05/2001
aldrj001,Jay Aldrich,06/05/1987
aldrm001,Mike Aldrete,05/28/1986
aldrs001,Scott Aldred,09/09/1990
aldrv101,Vic Aldridge,04/15/1917
alenc101,Chuck Aleno,05/15/1941
alexb101,Bob Alexander,04/11/1955
alexd001,Doyle Alexander,06/26/1971
alexd101,Dale Alexander,04/16/1929
alexg001,Gerald Alexander,09/09/1990
alexg101,Gary Alexander,09/12/1975
alexg102,Pete Alexander,04/15/1911
alexh101,Hugh Alexander,08/15/1937
alexm001,Manny Alexander,09/18/1992
alexm101,Matt Alexander,08/23/1973
alexn101,Nin Alexander,06/07/1884
alexs001,Scott Alexander,09/02/2015
alext001,Tyler Alexander,07/03/2019
alexw101,Walt Alexander,06/21/1912
alfaj001,Jason Alfaro,09/09/2004
alfaj002,Jorge Alfaro,09/12/2016
alfoa001,Antonio Alfonseca,06/17/1997
alfoa002,Anthony Alford,05/19/2017
alfoe001,Edgardo Alfonzo,04/26/1995
alfoe002,Eliezer Alfonzo,06/03/2006
alicl001,Luis Alicea,04/23/1988
allaa001,Andy Allanson,04/07/1986
allab101,Brian Allard,08/08/1979
allak001,Kolby Allard,07/31/2018
allea001,Austin Allen,05/11/2019
alleb001,Brandon Allen,08/22/2009
alleb101,Bob Allen,04/14/1961
alleb102,Bob Allen,09/19/1937
alleb103,Bob Allen,04/19/1890
alleb104,Bob Allen,08/20/1919
alleb105,Bernie Allen,04/10/1962
allec001,Chad Allen,04/06/1999
allec002,Cody Allen,07/20/2012
alled001,Dusty Allen,07/01/2000
alled101,Dick Allen,09/03/1963
allee101,Ethan Allen,06/13/1926
allef101,Frank Allen,04/24/1912
alleg001,Gary Allenson,04/08/1979
alleg002,Greg Allen,09/01/2017
alleg101,Gene Alley,09/04/1963
alleh101,Horace Allen,06/15/1919
alleh102,Ham Allen,04/27/1872
alleh103,Hezekiah Allen,05/16/1884
alleh104,Hank Allen,09/09/1966
allej001,Jermaine Allensworth,07/23/1996
allej101,Jamie Allen,05/01/1983
allej102,Johnny Allen,04/19/1932
allej103,Jack Allen,05/01/1879
allej104,John Allen,06/02/1914
allek101,Kim Allen,09/02/1980
allel001,Luke Allen,09/10/2002
allel002,Logan Allen,06/18/2019
allel101,Lloyd Allen,09/01/1969
allem101,Myron Allen,07/19/1883
allen001,Neil Allen,04/15/1979
allen101,Nick Allen,05/01/1914
allep101,Pete Allen,08/04/1893
aller001,Rod Allen,04/07/1983
aller101,Ron Allen,08/11/1972
alles101,Sled Allen,05/04/1910
allia101,Art Allison,05/04/1871
allia102,Andy Allison,05/07/1872
allib101,Bob Allietta,05/06/1975
allib102,Bill Allison,05/21/1872
allib103,Bob Allison,09/16/1958
allid001,Dana Allison,04/12/1991
allid101,Doug Allison,05/05/1871
allig101,Gair Allie,04/13/1954
allim101,Milo Allison,09/26/1913
allim102,Mack Allison,09/13/1911
allrb001,Beau Allred,09/07/1989
almaa001,Armando Almanza,07/29/1999
almac001,Carlos Almanzar,09/04/1997
almam101,Mel Almada,09/08/1933
almer101,Rafael Almeida,07/04/1911
almoa001,Abraham Almonte,08/30/2013
almoa002,Albert Almora,06/07/2016
almob001,Bill Almon,09/02/1974
almoe001,Erick Almonte,09/04/2001
almoe002,Edwin Almonte,07/07/2003
almoh001,Hector Almonte,07/26/1999
almom001,Miguel Almonte,09/01/2015
almoy001,Yency Almonte,06/21/2018
almoz001,Zoilo Almonte,06/19/2013
aloml101,Luis Aloma,04/19/1950
alomr001,Roberto Alomar,04/22/1988
aloms001,Sandy Alomar,09/30/1988
aloms101,Sandy Alomar,09/15/1964
alonp001,Pete Alonso,03/28/2019
alony001,Yonder Alonso,09/01/2010
alouf101,Felipe Alou,06/08/1958
alouj101,Jesus Alou,09/10/1963
aloum001,Moises Alou,07/26/1990
aloum101,Matty Alou,09/26/1960
alpew101,Whitey Alpermann,04/13/1906
alstd101,Dell Alston,05/17/1977
alstg001,Garvin Alston,06/06/1996
alstt101,Tom Alston,04/13/1954
alstw101,Walter Alston,09/27/1936
altad001,Dan Altavilla,08/27/2016
altap001,Porfi Altamirano,05/09/1982
altee101,Ernie Alten,04/17/1920
altej101,Jesse Altenburg,09/19/1916
altha001,Aaron Altherr,06/16/2014
altid101,Dave Altizer,05/29/1906
altmg101,George Altman,04/11/1959
altoj101,Joe Altobelli,04/14/1955
altrn101,Nick Altrock,07/14/1898
altuj001,Jose Altuve,07/20/2011
alusg101,George Alusik,09/11/1958
alvaa001,Abe Alvarez,07/22/2004
alvac001,Clemente Alvarez,09/19/2000
alvad001,Dario Alvarez,09/03/2014
alvad002,Dariel Alvarez,08/28/2015
alvae001,Eddy Alvarez,08/05/2020
alvag001,Gabe Alvarez,06/22/1998
alvah001,Henderson Alvarez,08/10/2011
alvaj001,Jose Alvarez,10/01/1981
alvaj002,Juan Alvarez,09/01/1999
alvaj003,Jose Alvarez,06/09/2013
alvaj004,Jose Alvarado,05/04/2017
alval101,Luis Alvarado,09/13/1968
alvao101,Ossie Alvarez,04/19/1958
alvao102,Orlando Alvarez,09/01/1973
alvap001,Pedro Alvarez,06/16/2010
alvar001,R.J. Alvarez,09/03/2014
alvar101,Rogelio Alvarez,09/18/1960
alvat001,Tavo Alvarez,08/21/1995
alvat002,Tony Alvarez,09/04/2002
alvav001,Victor Alvarez,07/30/2002
alvaw001,Wilson Alvarez,07/24/1989
alvay001,Yordan Alvarez,06/09/2019
alvim101,Max Alvis,09/11/1962
alvob101,Billy Alvord,04/30/1885
alyeb101,Brant Alyea,09/11/1965
alzoa001,Adbert Alzolay,06/20/2019
amalj101,Joey Amalfitano,05/02/1954
amara001,Alexi Amarista,04/26/2011
amarr001,Rich Amaral,05/27/1991
amarr002,Ruben Amaro,06/08/1991
amarr101,Ruben Amaro,06/29/1958
amblw101,Wayne Ambler,06/04/1937
ambrc001,Chip Ambres,07/20/2005
ambrh001,Hector Ambriz,04/30/2010
amele001,Ed Amelung,07/28/1984
amesr101,Red Ames,09/14/1903
amess001,Steve Ames,07/30/2013
ameza001,Alfredo Amezaga,05/24/2002
amold101,Doc Amole,08/19/1897
amors101,Sandy Amoros,08/22/1952
amorv101,Vicente Amor,04/16/1955
anckw101,Walter Ancker,09/03/1915
andea001,Allan Anderson,06/11/1986
andea101,Andy Anderson,05/10/1948
andea102,Alf Anderson,04/20/1941
andeb001,Brady Anderson,04/04/1988
andeb002,Brian Anderson,09/10/1993
andeb003,Brian Anderson,08/16/2005
andeb004,Brett Anderson,04/10/2009
andeb005,Bryan Anderson,04/15/2010
andeb006,Brian Anderson,09/01/2017
andeb101,Bud Anderson,06/11/1982
andeb102,Bob Anderson,07/31/1957
andeb103,Bill Anderson,09/10/1925
andec001,Chase Anderson,05/11/2014
andec002,Cody Anderson,06/21/2015
andec101,Craig Anderson,06/23/1961
anded001,Dave Anderson,05/08/1983
anded002,Drew Anderson,09/11/2006
anded003,Drew Anderson,08/01/2017
anded101,Dwain Anderson,09/03/1971
anded102,Dave Anderson,08/24/1889
andef101,Fred Anderson,09/25/1909
andef102,Ferrell Anderson,04/16/1946
andeg001,Garret Anderson,07/27/1994
andeg101,Goat Anderson,04/11/1907
andeg102,George Anderson,05/26/1914
andeh101,Harry Anderson,04/18/1957
andeh102,Hal Anderson,04/12/1932
andei001,Ian Anderson,08/26/2020
andej001,Jim Anderson,07/02/1978
andej002,Jimmy Anderson,07/04/1999
andej003,Jason Anderson,03/31/2003
andej004,Josh Anderson,09/02/2007
andej005,Justin Anderson,04/23/2018
andej101,John Anderson,09/08/1894
andej102,John Anderson,08/17/1958
andek001,Kent Anderson,04/15/1989
andel001,Larry Andersen,09/05/1975
andel002,Lars Anderson,09/06/2010
andel101,Larry Anderson,09/25/1974
andem001,Mike Anderson,09/07/1993
andem002,Matt Anderson,06/25/1998
andem003,Marlon Anderson,09/08/1998
andem101,Mike Anderson,09/02/1971
anden001,Nick Anderson,03/28/2019
ander001,Rick Anderson,06/09/1986
ander101,Rick Anderson,09/18/1979
ander102,Red Anderson,09/19/1937
andes001,Scott Anderson,04/08/1987
andes002,Shaun Anderson,05/15/2019
andes101,Sparky Anderson,04/10/1959
andet001,Tim Anderson,06/10/2016
andet002,Tyler Anderson,06/12/2016
andet003,Tanner Anderson,07/02/2018
andev101,Varney Anderson,08/01/1889
andew101,Wingo Anderson,04/16/1910
