Link,Name,From-Team,From-Franchise,# Transactions,# Players Traded Away,# Players Traded For,# Players Total,First Year,Last Year,Year Span,Ongoing,Comp Picks,total_WAR_out,total_WAR_in,WAR_total,total_G_out,total_G_in,G_total,total_PA_out,total_PA_in,PA_total,total_IP_out,total_IP_in,IP_total,total_salary_out,total_salary_in,salary_total
<a href=/player/aardd001>aardd001</a>,David Aardsma,San Francisco Giants,GIANTS,2,3,3,6,2005,2008,3,No,0,2.36,1.11,-1.25,196,369,173,41,1,-40,695.0,405.0,-290.0,336000.0,0.0,-336000.0
<a href=/player/aardd001>aardd001</a>,David Aardsma,Chicago Cubs,CUBS,1,2,1,3,2006,2009,3,No,0,-0.4,0.17,0.57,27,164,137,0,1,1,97.0,190.0,93.0,0.0,0.0,0.0
<a href=/player/aardd001>aardd001</a>,David Aardsma,Chicago White Sox,WSOX,1,1,2,3,2008,2011,3,No,0,-0.33,0.0,0.33,52,0,-52,1,0,-1,146.0,0.0,-146.0,0.0,0.0,0.0
<a href=/player/aardd001>aardd001</a>,David Aardsma,Boston Red Sox,RSOX,10,28,17,45,2009,2019,10,Yes,0,37.8,29.55,-8.25,3009,1766,-1243,5076,5901,825,5204.0,1908.0,-3296.0,4708000.0,0.0,-4708000.0
<a href=/player/aaroh101>aaroh101</a>,Hank Aaron,Atlanta Braves,BRAVES,4,9,5,14,1974,1983,9,No,0,4.19,7.49,3.3,717,753,36,1866,2551,685,923.0,87.0,-836.0,253500.0,0.0,-253500.0
<a href=/player/aased001>aased001</a>,Don Aase,Boston Red Sox,RSOX,1,2,1,3,1977,1985,8,No,0,10.47,6.5,-3.97,192,710,518,0,3118,3118,2086.0,0.0,-2086.0,0.0,0.0,0.0
<a href=/player/abadf001>abadf001</a>,Fernando Abad,Washington Nationals,NATEX,1,1,1,2,2013,2013,0,Yes,0,1.97,0.0,-1.97,142,0,-142,0,0,0,315.0,0.0,-315.0,0.0,0.0,0.0
<a href=/player/abadf001>abadf001</a>,Fernando Abad,Minnesota Twins,TWINS,2,2,2,4,2016,2017,1,No,0,0.22,-0.48,-0.7,72,16,-56,0,0,0,169.0,42.0,-127.0,0.0,0.0,0.0
<a href=/player/abbae101>abbae101</a>,Ed Abbaticchio,Boston Braves,BRAVES,2,2,5,7,1906,1910,4,No,0,6.87,14.92,8.05,408,829,421,1496,3044,1548,0.0,1374.0,1374.0,0.0,0.0,0.0
<a href=/player/abbeb101>abbeb101</a>,Bert Abbey,Pittsburgh Pirates,PIRATS,2,2,2,4,1893,1898,5,No,0,2.42,1.37,-1.05,115,147,32,191,295,104,1263.0,1301.0,38.0,0.0,0.0,0.0
<a href=/player/abbof101>abbof101</a>,Fred Abbott,Columbus,Columbus,1,1,1,2,1905,1907,2,No,0,-0.18,0.0,0.18,42,0,-42,142,0,-142,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/abboj001>abboj001</a>,Jim Abbott,California Angels,ANGELS,3,4,6,10,1992,1998,6,No,0,15.27,-0.9,-16.17,1393,613,-780,4599,2002,-2597,1493.0,1346.0,-147.0,2825000.0,0.0,-2825000.0
<a href=/player/abboj001>abboj001</a>,Jim Abbott,Chicago White Sox,WSOX,6,9,10,19,1995,2008,13,No,0,-3.17,23.46,26.63,359,1502,1143,866,3855,2989,1206.0,2082.0,876.0,3255000.0,0.0,-3255000.0
<a href=/player/abboj002>abboj002</a>,Jeff Abbott,Chicago White Sox,WSOX,1,1,1,2,2000,2002,2,No,0,0.03,-0.49,-0.52,28,22,-6,46,39,-7,0.0,0.0,0.0,255000.0,0.0,-255000.0
<a href=/player/abbok001>abbok001</a>,Kyle Abbott,California Angels,ANGELS,1,2,1,3,1991,1992,1,No,0,-0.16,-0.8,-0.64,519,94,-425,970,350,-620,485.0,0.0,-485.0,0.0,0.0,0.0
<a href=/player/abbok002>abbok002</a>,Kurt Abbott,Oakland Athletics,ATLTCS,1,1,1,2,1993,1996,3,No,0,1.96,-0.07,-2.03,424,22,-402,1461,18,-1443,0.0,0.0,0.0,109000.0,0.0,-109000.0
<a href=/player/abbok002>abbok002</a>,Kurt Abbott,Florida Marlins,MARLNS,1,1,1,2,1997,1998,1,No,0,-0.55,-1.15,-0.6,35,26,-9,136,7,-129,0.0,98.0,98.0,650000.0,0.0,-650000.0
<a href=/player/abbok002>abbok002</a>,Kurt Abbott,Oakland Athletics,ATLTCS,1,1,2,3,1998,1998,0,No,0,-0.8,0.0,0.8,138,0,-138,381,0,-381,0.0,0.0,0.0,1000000.0,0.0,-1000000.0
<a href=/player/abbop001>abbop001</a>,Paul Abbott,Arizona Diamondbacks,DBACKS,1,1,1,2,2003,2003,0,No,0,0.4,0.0,-0.4,10,0,-10,0,0,0,143.0,0.0,-143.0,0.0,0.0,0.0
<a href=/player/abera101>abera101</a>,Al Aber,Cleveland Indians,INDINS,4,8,7,15,1953,1960,7,No,0,29.6,3.08,-26.52,1527,466,-1061,3515,525,-2990,4632.0,1595.0,-3037.0,15900.0,0.0,-15900.0
<a href=/player/aberb001>aberb001</a>,Brent Abernathy,Toronto Blue Jays,BJAYS,1,1,2,3,2000,2000,0,No,0,0.98,1.0,0.02,198,34,-164,846,0,-846,0.0,251.0,251.0,0.0,0.0,0.0
<a href=/player/aberb101>aberb101</a>,Bill Abernathie,Cleveland Indians,INDINS,1,2,1,3,1953,1954,1,No,0,0.0,-0.16,-0.16,0,4,4,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/abert101>abert101</a>,Ted Abernathy,Chicago Cubs,CUBS,2,2,3,5,1966,1968,2,No,0,-1.96,-1.51,0.45,166,152,-14,230,379,149,196.0,0.0,-196.0,0.0,0.0,0.0
<a href=/player/abert101>abert101</a>,Ted Abernathy,Cincinnati Reds,REDS,1,1,3,4,1969,1978,9,No,0,1.7,-3.64,-5.34,134,324,190,8,899,891,283.0,0.0,-283.0,0.0,0.0,0.0
<a href=/player/abert101>abert101</a>,Ted Abernathy,Chicago Cubs,CUBS,2,2,2,4,1970,1974,4,No,0,1.49,-0.89,-2.38,121,253,132,178,707,529,55.0,0.0,-55.0,0.0,0.0,0.0
<a href=/player/abert101>abert101</a>,Ted Abernathy,St. Louis Cardinals,CARDS,2,2,2,4,1970,1971,1,No,0,5.43,-1.11,-6.54,338,47,-291,40,33,-7,700.0,269.0,-431.0,0.0,0.0,0.0
<a href=/player/abnes001>abnes001</a>,Shawn Abner,New York Mets,METS,14,32,26,58,1986,2019,33,No,2,34.33,97.35,63.02,3020,5459,2439,6919,13501,6582,4717.0,5432.0,715.0,28384257.0,0.0,-28384257.0
<a href=/player/abnes001>abnes001</a>,Shawn Abner,San Diego Padres,PADRS,1,1,1,2,1991,1991,0,No,0,-0.68,0.71,1.39,41,58,17,105,179,74,0.0,0.0,0.0,180000.0,0.0,-180000.0
<a href=/player/abrac101>abrac101</a>,Cal Abrams,Brooklyn Dodgers,DOGRS,1,1,2,3,1952,1952,0,No,0,0.81,0.0,-0.81,71,0,-71,177,0,-177,0.0,0.0,0.0,9500.0,0.0,-9500.0
<a href=/player/abrac101>abrac101</a>,Cal Abrams,Cincinnati Reds,REDS,1,3,1,4,1952,1961,9,No,0,1.64,13.15,11.51,150,1235,1085,601,5109,4508,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/abrac101>abrac101</a>,Cal Abrams,Pittsburgh Pirates,PIRATS,2,3,2,5,1954,1965,11,No,0,5.86,19.95,14.09,341,1537,1196,1230,5949,4719,29.0,893.0,864.0,11000.0,0.0,-11000.0
<a href=/player/abrac101>abrac101</a>,Cal Abrams,Baltimore Orioles,ORLS,1,1,1,2,1955,1956,1,No,0,0.13,0.22,0.09,4,41,37,5,143,138,0.0,0.0,0.0,16000.0,0.0,-16000.0
<a href=/player/abrea001>abrea001</a>,Albert Abreu,Houston Astros,ASTROS,1,2,2,4,2016,2018,2,No,0,-0.24,1.81,2.05,33,160,127,0,615,615,114.0,0.0,-114.0,0.0,0.0,0.0
<a href=/player/abreb001>abreb001</a>,Bobby Abreu,Tampa Bay Devil Rays,RAYS,1,1,1,2,1997,2000,3,No,0,47.18,2.72,-44.46,1353,231,-1122,5885,804,-5081,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/abreb001>abreb001</a>,Bobby Abreu,Philadelphia Phillies,PHILS,1,2,4,6,2006,2009,3,No,0,7.5,0.06,-7.44,382,46,-336,1631,0,-1631,136.0,38.0,-98.0,16900000.0,0.0,-16900000.0
<a href=/player/abrej002>abrej002</a>,Juan Abreu,Atlanta Braves,BRAVES,2,5,3,8,2011,2019,8,No,1,1.07,6.63,5.56,249,230,-19,481,952,471,1075.0,36.0,-1039.0,0.0,0.0,0.0
<a href=/player/abrej101>abrej101</a>,Joe Abreu,Cincinnati Reds,REDS,1,3,1,4,1942,1942,0,No,0,-0.7,0.0,0.7,176,38,-138,37,128,91,438.0,0.0,-438.0,0.0,0.0,0.0
<a href=/player/abret001>abret001</a>,Tony Abreu,Los Angeles Dodgers,DOGRS,1,1,1,2,2009,2009,0,No,0,-1.3,0.17,1.47,81,12,-69,201,13,-188,0.0,109.0,109.0,400000.0,0.0,-400000.0
<a href=/player/abrew001>abrew001</a>,Winston Abreu,Atlanta Braves,BRAVES,1,1,1,2,2001,2001,0,No,0,0.0,0.2,0.2,0,24,24,0,0,0,0.0,36.0,36.0,0.0,0.0,0.0
<a href=/player/abrew001>abrew001</a>,Winston Abreu,San Diego Padres,PADRS,1,1,1,2,2002,2002,0,No,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/abrew001>abrew001</a>,Winston Abreu,Tampa Bay Devil Rays,RAYS,1,1,1,2,2009,2009,0,No,0,-0.25,0.0,0.25,3,0,-3,0,0,0,7.0,0.0,-7.0,0.0,0.0,0.0
<a href=/player/accaj001>accaj001</a>,Jeremy Accardo,San Francisco Giants,GIANTS,1,1,2,3,2006,2008,2,No,0,1.81,0.24,-1.57,144,281,137,0,251,251,419.0,321.0,-98.0,330000.0,0.0,-330000.0
<a href=/player/acevj001>acevj001</a>,Juan Acevedo,Colorado Rockies,ROCKS,1,2,2,4,1995,1996,1,No,0,-0.04,0.08,0.12,47,18,-29,7,15,8,143.0,129.0,-14.0,109000.0,0.0,-109000.0
<a href=/player/acevj001>acevj001</a>,Juan Acevedo,New York Mets,METS,4,6,5,11,1998,2005,7,No,0,2.27,1.88,-0.39,307,737,430,71,1631,1560,972.0,157.0,-815.0,3750000.0,0.0,-3750000.0
<a href=/player/acevj001>acevj001</a>,Juan Acevedo,St. Louis Cardinals,CARDS,1,3,1,4,1999,2003,4,No,0,0.9,5.69,4.79,122,488,366,2,2221,2219,248.0,0.0,-248.0,475000.0,0.0,-475000.0
<a href=/player/acevj001>acevj001</a>,Juan Acevedo,Milwaukee Brewers,BREWRS,2,4,5,9,2001,2004,3,No,0,0.49,3.61,3.12,225,470,245,5,59,54,355.0,808.0,453.0,1700000.0,0.0,-1700000.0
<a href=/player/acevj001>acevj001</a>,Juan Acevedo,Colorado Rockies,ROCKS,1,1,1,2,2001,2001,0,No,0,0.5,0.0,-0.5,40,0,-40,4,0,-4,85.0,0.0,-85.0,0.0,0.0,0.0
<a href=/player/acevj002>acevj002</a>,Jose Acevedo,Cincinnati Reds,REDS,1,1,1,2,2005,2006,1,No,0,-0.77,-0.07,0.7,72,18,-54,11,0,-11,192.0,20.0,-172.0,0.0,0.0,0.0
<a href=/player/ackej001>ackej001</a>,Jim Acker,Toronto Blue Jays,BJAYS,1,1,1,2,1986,1987,1,No,0,3.97,1.22,-2.75,338,30,-308,56,0,-56,1048.0,464.0,-584.0,0.0,0.0,0.0
<a href=/player/ackej001>ackej001</a>,Jim Acker,Atlanta Braves,BRAVES,2,3,3,6,1989,1993,4,No,0,1.07,1.23,0.16,147,447,300,6,375,369,696.0,468.0,-228.0,853000.0,0.0,-853000.0
<a href=/player/acket101>acket101</a>,Tom Acker,Buffalo,Buffalo,1,2,1,3,1951,1952,1,No,0,4.75,0.0,-4.75,338,0,-338,99,0,-99,1213.0,0.0,-1213.0,0.0,0.0,0.0
<a href=/player/acket101>acket101</a>,Tom Acker,Cincinnati Reds,REDS,1,1,1,2,1959,1961,2,No,0,0.0,-0.26,-0.26,0,23,23,0,28,28,0.0,0.0,0.0,10000.0,0.0,-10000.0
<a href=/player/ackld001>ackld001</a>,Dustin Ackley,Seattle Mariners,MARNRS,4,4,5,9,2015,2017,2,No,0,-1.26,-0.89,0.37,431,38,-393,589,77,-512,306.0,17.0,-289.0,3112000.0,0.0,-3112000.0
<a href=/player/acose101>acose101</a>,Ed Acosta,Pittsburgh Pirates,PIRATS,1,2,1,3,1971,1973,2,No,0,1.19,1.07,-0.12,236,104,-132,456,7,-449,405.0,247.0,-158.0,0.0,0.0,0.0
<a href=/player/acosj101>acosj101</a>,Jose Acosta,Washington Senators,TWINS,3,6,4,10,1922,1933,11,No,0,25.21,14.57,-10.64,1580,710,-870,6114,2665,-3449,0.0,616.0,616.0,0.0,0.0,0.0
<a href=/player/adaij101>adaij101</a>,Jerry Adair,Baltimore Orioles,ORLS,6,13,9,22,1966,1973,7,No,0,1.41,-0.48,-1.89,684,433,-251,1106,498,-608,1557.0,550.0,-1007.0,66000.0,0.0,-66000.0
<a href=/player/adaij101>adaij101</a>,Jerry Adair,Chicago White Sox,WSOX,2,2,3,5,1967,1968,1,No,0,2.07,2.58,0.51,271,188,-83,571,21,-550,218.0,507.0,289.0,31250.0,0.0,-31250.0
<a href=/player/adama001>adama001</a>,Austin Adams,Cleveland Indians,INDINS,1,1,1,2,2017,2017,0,No,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adama002>adama002</a>,Austin Adams,Anaheim Angels,ANGELS,1,2,1,3,2016,2017,1,No,0,-0.03,-0.47,-0.44,104,77,-27,6,254,248,215.0,0.0,-215.0,0.0,0.0,0.0
<a href=/player/adama002>adama002</a>,Austin Adams,Washington Nationals,NATEX,1,1,2,3,2019,2019,0,Yes,0,0.65,0.0,-0.65,32,0,-32,1,0,-1,93.0,0.0,-93.0,0.0,0.0,0.0
<a href=/player/adama002>adama002</a>,Austin Adams,Seattle Mariners,MARNRS,1,3,4,7,2020,2020,0,Yes,0,1.48,0.43,-1.05,218,41,-177,269,159,-110,200.0,0.0,-200.0,0.0,0.0,0.0
<a href=/player/adamb101>adamb101</a>,Buster Adams,St. Louis Cardinals,CARDS,1,3,2,5,1943,1946,3,No,0,7.07,3.43,-3.64,654,226,-428,2414,842,-1572,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adamb101>adamb101</a>,Buster Adams,Philadelphia Phillies,PHILS,1,1,2,3,1945,1945,0,No,0,2.98,0.82,-2.16,221,207,-14,855,882,27,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adamb103>adamb103</a>,Bobby Adams,Chicago White Sox,WSOX,1,1,1,2,1955,1955,0,No,0,0.22,0.0,-0.22,41,0,-41,143,0,-143,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adamb106>adamb106</a>,Jack Adams,New York Giants,GIANTS,1,3,1,4,1915,1915,0,No,0,8.83,1.16,-7.67,856,106,-750,2811,431,-2380,1477.0,0.0,-1477.0,0.0,0.0,0.0
<a href=/player/adamc002>adamc002</a>,Chance Adams,New York Yankees,YANKS,1,1,1,2,2019,2019,0,Yes,0,-0.19,0.0,0.19,6,0,-6,0,0,0,26.0,0.0,-26.0,556725.0,0.0,-556725.0
<a href=/player/adamh101>adamh101</a>,Herb Adams,Houston,Houston,1,2,1,3,1959,1959,0,No,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adamj001>adamj001</a>,Joel Adamson,Philadelphia Phillies,PHILS,2,3,3,6,1992,2004,12,No,2,-0.36,9.96,10.32,27,711,684,0,2073,2073,41.0,1766.0,1725.0,0.0,0.0,0.0
<a href=/player/adamj001>adamj001</a>,Joel Adamson,Florida Marlins,MARLNS,1,1,1,2,1996,1996,0,No,0,0.84,0.0,-0.84,34,0,-34,3,0,-3,229.0,0.0,-229.0,0.0,0.0,0.0
<a href=/player/adamj002>adamj002</a>,Jason Adam,Kansas City Royals,ROYALS,1,1,1,2,2014,2014,0,No,0,0.0,0.18,0.18,0,24,24,0,86,86,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adamm001>adamm001</a>,Mike Adams,Milwaukee Brewers,BREWRS,1,1,1,2,2006,2006,0,No,0,0.0,-0.65,-0.65,0,40,40,0,5,5,0.0,126.0,126.0,0.0,0.0,0.0
<a href=/player/adamm001>adamm001</a>,Mike Adams,Cleveland Indians,INDINS,1,1,1,2,2006,2007,1,No,0,6.42,0.16,-6.26,406,17,-389,2,0,-2,651.0,59.0,-592.0,0.0,0.0,0.0
<a href=/player/adamm001>adamm001</a>,Mike Adams,San Diego Padres,PADRS,3,6,6,12,2011,2019,8,No,0,10.84,-0.18,-11.02,776,478,-298,2593,1171,-1422,260.0,1056.0,796.0,3828600.0,0.0,-3828600.0
<a href=/player/adamm002>adamm002</a>,Matt Adams,St. Louis Cardinals,CARDS,1,2,1,3,2017,2017,0,Yes,0,-0.02,0.0,0.02,116,0,-116,365,0,-365,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adamm102>adamm102</a>,Mike Adams,Detroit Tigers,TIGRS,1,2,1,3,1971,1971,0,No,0,0.24,-0.53,-0.77,58,32,-26,90,4,-86,0.0,95.0,95.0,0.0,0.0,0.0
<a href=/player/adamm102>adamm102</a>,Mike Adams,Minnesota Twins,TWINS,1,1,1,2,1974,1974,0,No,0,-0.22,0.0,0.22,27,0,-27,40,0,-40,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adamr004>adamr004</a>,Riley Adams,Toronto Blue Jays,BJAYS,1,1,1,2,2021,2021,0,No,0,0.89,-0.62,-1.51,35,12,-23,90,0,-90,0.0,26.0,26.0,0.0,0.0,0.0
<a href=/player/adams101>adams101</a>,Sparky Adams,Chicago Cubs,CUBS,1,2,1,3,1927,1935,8,No,0,1.8,26.3,24.5,269,949,680,1048,4196,3148,0.0,0.0,0.0,15500.0,0.0,-15500.0
<a href=/player/adams101>adams101</a>,Sparky Adams,St. Louis Cardinals,CARDS,2,4,7,11,1933,1941,8,No,0,35.44,3.4,-32.04,1483,791,-692,3153,2855,-298,8479.0,390.0,-8089.0,10000.0,0.0,-10000.0
<a href=/player/adams101>adams101</a>,Sparky Adams,St. Louis Cardinals,CARDS,1,3,1,4,1921,1921,0,No,0,0.0,-0.04,-0.04,0,22,22,0,57,57,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adams101>adams101</a>,Sparky Adams,WichitaFalls,WichitaFalls,1,1,2,3,1922,1922,0,No,0,12.04,0.0,-12.04,672,0,-672,2968,0,-2968,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adams102>adams102</a>,Spencer Adams,St.Louis Browns,ORLS,23,46,52,98,1927,1952,25,No,0,139.77,131.99,-7.78,6854,9855,3001,22708,32907,10199,12609.0,15510.0,2901.0,218500.0,0.0,-218500.0
<a href=/player/adams102>adams102</a>,Spencer Adams,Seattle,Seattle,2,3,5,8,1922,1925,3,No,0,11.84,0.0,-11.84,653,0,-653,687,0,-687,5104.0,0.0,-5104.0,0.0,0.0,0.0
<a href=/player/adamt001>adamt001</a>,Terry Adams,Chicago Cubs,CUBS,2,4,5,9,1999,2002,3,No,0,1.82,4.66,2.84,231,348,117,64,1392,1328,872.0,299.0,-573.0,6473500.0,0.0,-6473500.0
<a href=/player/adamt001>adamt001</a>,Terry Adams,Toronto Blue Jays,BJAYS,1,1,1,2,2004,2007,3,No,0,-0.09,0.29,0.38,19,13,-6,0,29,29,81.0,0.0,-81.0,1700000.0,0.0,-1700000.0
<a href=/player/adamw002>adamw002</a>,Willy Adames,Detroit Tigers,TIGRS,3,5,5,10,2014,2021,7,Yes,0,13.54,10.17,-3.37,428,201,-227,1262,19,-1243,1153.0,2223.0,1070.0,29745000.0,0.0,-29745000.0
<a href=/player/adamw002>adamw002</a>,Willy Adames,Tampa Bay Devil Rays,RAYS,1,2,2,4,2021,2021,0,Yes,0,3.81,2.17,-1.64,129,60,-69,414,3,-411,59.0,287.0,228.0,0.0,0.0,0.0
<a href=/player/adcoj101>adcoj101</a>,Joe Adcock,Cincinnati Reds,REDS,1,1,2,3,1953,1957,4,No,0,26.58,0.53,-26.05,1207,346,-861,4697,754,-3943,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adcoj101>adcoj101</a>,Joe Adcock,Milwaukee Braves,BRAVES,3,5,6,11,1962,1966,4,No,0,-0.69,3.0,3.69,105,383,278,317,708,391,15.0,0.0,-15.0,0.0,0.0,0.0
<a href=/player/adcoj101>adcoj101</a>,Joe Adcock,Cleveland Indians,INDINS,9,16,15,31,1963,1978,15,No,0,26.81,13.21,-13.6,2236,1670,-566,5404,5743,339,2936.0,1183.0,-1753.0,115500.0,0.0,-115500.0
<a href=/player/adcon001>adcon001</a>,Nathan Adcock,Seattle Mariners,MARNRS,2,6,3,9,2009,2011,2,No,0,-0.04,2.82,2.86,447,179,-268,1426,514,-912,0.0,332.0,332.0,5822500.0,0.0,-5822500.0
<a href=/player/addib101>addib101</a>,Bob Addis,Brooklyn Dodgers,DOGRS,1,2,3,5,1949,1949,0,No,0,8.82,0.0,-8.82,541,0,-541,2215,0,-2215,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/addib101>addib101</a>,Bob Addis,Boston Braves,BRAVES,1,1,1,2,1951,1951,0,No,0,0.91,0.0,-0.91,103,0,-103,331,0,-331,0.0,0.0,0.0,6600.0,0.0,-6600.0
<a href=/player/addib101>addib101</a>,Bob Addis,Chicago Cubs,CUBS,7,18,16,34,1953,1965,12,No,0,5.64,21.93,16.29,1405,1825,420,3839,2173,-1666,1451.0,4951.0,3500.0,82000.0,0.0,-82000.0
<a href=/player/adduj001>adduj001</a>,Jim Adduci,St. Louis Cardinals,CARDS,1,2,3,5,1984,1984,0,No,0,0.51,0.0,-0.51,168,0,-168,529,0,-529,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/aderm101>aderm101</a>,Morrie Aderholt,Washington Senators,TWINS,1,1,1,2,1943,1950,7,No,0,-0.33,-0.38,-0.05,56,165,109,126,573,447,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adkij001>adkij001</a>,Jon Adkins,Oakland Athletics,ATLTCS,3,4,6,10,1989,2007,18,No,2,0.38,3.52,3.14,293,206,-87,619,251,-368,239.0,786.0,547.0,2200000.0,0.0,-2200000.0
<a href=/player/adkij001>adkij001</a>,Jon Adkins,San Diego Padres,PADRS,5,9,10,19,2006,2016,10,No,2,7.6,8.88,1.28,798,1045,247,2623,1095,-1528,111.0,1373.0,1262.0,1621100.0,0.0,-1621100.0
<a href=/player/adkis001>adkis001</a>,Steve Adkins,New York Yankees,YANKS,1,1,1,2,1991,1991,0,No,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adled101>adled101</a>,Dave Adlesh,Houston Astros,ASTROS,2,5,3,8,1968,1968,0,No,0,1.27,0.0,-1.27,405,0,-405,1102,0,-1102,299.0,0.0,-299.0,0.0,0.0,0.0
<a href=/player/adled101>adled101</a>,Dave Adlesh,St. Louis Cardinals,CARDS,2,2,2,4,1969,1971,2,No,0,0.47,-0.19,-0.66,81,29,-52,123,38,-85,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adled101>adled101</a>,Dave Adlesh,Atlanta Braves,BRAVES,1,1,1,2,1969,1969,0,No,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/adled101>adled101</a>,Dave Adlesh,California Angels,ANGELS,4,9,9,18,1971,1976,5,No,0,0.53,5.03,4.5,382,668,286,431,1911,1480,1134.0,244.0,-890.0,35000.0,0.0,-35000.0
<a href=/player/afent001>afent001</a>,Troy Afenir,Houston Astros,ASTROS,1,1,1,2,1989,1989,0,No,0,-0.28,0.0,0.28,19,0,-19,26,0,-26,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/affej001>affej001</a>,Jeremy Affeldt,Kansas City Royals,ROYALS,1,2,2,4,2006,2009,3,No,0,-0.8,0.46,1.26,227,144,-83,3,478,475,305.0,71.0,-234.0,1335500.0,0.0,-1335500.0
<a href=/player/agbab001>agbab001</a>,Benny Agbayani,New York Mets,METS,11,24,26,50,2002,2021,19,Yes,0,23.06,23.68,0.62,980,1702,722,2021,4506,2485,5255.0,3554.0,-1701.0,30731467.0,0.0,-30731467.0
<a href=/player/ageet101>ageet101</a>,Tommie Agee,Cleveland Indians,INDINS,3,5,5,10,1965,1968,3,No,0,40.72,5.22,-35.5,1111,420,-691,2880,1615,-1265,4479.0,0.0,-4479.0,0.0,0.0,0.0
<a href=/player/ageet101>ageet101</a>,Tommie Agee,Chicago White Sox,WSOX,12,24,24,48,1967,1985,18,No,1,42.94,39.29,-3.65,3870,2650,-1220,10120,8109,-2011,6724.0,4885.0,-1839.0,267950.0,0.0,-267950.0
<a href=/player/ageet101>ageet101</a>,Tommie Agee,New York Mets,METS,1,1,2,3,1972,1974,2,No,0,0.56,-0.15,-0.71,84,8,-76,221,25,-196,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/ageet101>ageet101</a>,Tommie Agee,Houston Astros,ASTROS,1,1,2,3,1973,1973,0,No,0,0.54,0.18,-0.36,26,9,-17,67,15,-52,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/ageet101>ageet101</a>,Tommie Agee,St. Louis Cardinals,CARDS,1,1,1,2,1973,1974,1,No,0,0.0,-0.11,-0.11,0,26,26,0,0,0,0.0,34.0,34.0,0.0,0.0,0.0
<a href=/player/agual001>agual001</a>,Luis Aguayo,Philadelphia Phillies,PHILS,1,1,1,2,1988,1991,3,No,0,-0.68,-0.34,0.34,50,6,-44,149,1,-148,0.0,10.0,10.0,375000.0,0.0,-375000.0
<a href=/player/aguih101>aguih101</a>,Hank Aguirre,Cleveland Indians,INDINS,7,13,11,24,1958,1965,7,No,0,29.75,2.89,-26.86,2675,596,-2079,5199,1979,-3220,7620.0,347.0,-7273.0,7500.0,0.0,-7500.0
<a href=/player/aguih101>aguih101</a>,Hank Aguirre,Detroit Tigers,TIGRS,1,1,1,2,1968,1968,0,No,0,0.95,0.0,-0.95,50,0,-50,3,0,-3,117.0,0.0,-117.0,0.0,0.0,0.0
<a href=/player/aguij001>aguij001</a>,Jesus Aguilar,Milwaukee Brewers,BREWRS,1,1,1,2,2019,2020,1,No,0,0.24,-0.56,-0.8,37,18,-19,107,0,-107,0.0,26.0,26.0,637500.0,0.0,-637500.0
<a href=/player/aguir001>aguir001</a>,Rick Aguilera,New York Mets,METS,2,6,3,9,1989,1991,2,No,2,34.39,9.58,-24.81,807,164,-643,0,204,204,6852.0,1699.0,-5153.0,378000.0,0.0,-378000.0
<a href=/player/aguir001>aguir001</a>,Rick Aguilera,Minnesota Twins,TWINS,1,1,2,3,1995,1999,4,No,0,1.05,2.15,1.1,30,120,90,0,1,1,91.0,1528.0,1437.0,4350000.0,0.0,-4350000.0
<a href=/player/aguir001>aguir001</a>,Rick Aguilera,Minnesota Twins,TWINS,2,3,3,6,1999,2006,7,No,0,2.68,7.1,4.42,288,208,-80,99,24,-75,1148.0,2925.0,1777.0,8250000.0,0.0,-8250000.0
