Link,Name,From-Team,From-Franchise,# Transactions,# Players Traded Away,# Players Traded For,# Players Total,First Year,Last Year,Year Span,Ongoing,Comp Picks,total_WAR_out,total_WAR_in,WAR_total,total_G_out,total_G_in,G_total,total_PA_out,total_PA_in,PA_total,total_IP_out,total_IP_in,IP_total,total_salary_out,total_salary_in,salary_total
<a href=/player/plout001>plout001</a>,Trevor Plouffe,Oakland Athletics,ATLTCS,1,2,1,3,2017,2017,0,No,0,-0.74,0.0,0.74,42,0,-42,114,0,-114,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/plumb101>plumb101</a>,Bill Plummer,Chicago Cubs,CUBS,3,5,3,8,1969,1974,5,No,0,-2.15,0.81,2.96,445,387,-58,1077,715,-362,55.0,283.0,228.0,0.0,0.0,0.0
<a href=/player/plune001>plune001</a>,Eric Plunk,New York Yankees,YANKS,3,7,8,15,1984,1993,9,No,0,53.43,36.99,-16.44,2484,1135,-1349,8455,3089,-5366,3002.0,2795.0,-207.0,2415000.0,0.0,-2415000.0
<a href=/player/plune001>plune001</a>,Eric Plunk,Oakland Athletics,ATLTCS,3,5,4,9,1989,1998,9,No,0,13.62,32.12,18.5,801,794,-7,1223,2883,1660,2766.0,771.0,-1995.0,4272766.0,0.0,-4272766.0
<a href=/player/plune001>plune001</a>,Eric Plunk,Cleveland Indians,INDINS,1,1,1,2,1998,1998,0,No,0,0.36,0.68,0.32,184,23,-161,2,0,-2,321.0,94.0,-227.0,1800000.0,0.0,-1800000.0
<a href=/player/poatr101>poatr101</a>,Ray Poat,New York Giants,GIANTS,1,2,1,3,1949,1949,0,No,0,-0.71,0.46,1.17,25,74,49,18,18,0,108.0,241.0,133.0,0.0,0.0,0.0
<a href=/player/pochc001>pochc001</a>,Colin Poche,Arizona Diamondbacks,DBACKS,1,4,2,6,2018,2019,1,Yes,0,-0.39,-0.4,-0.01,65,72,7,0,272,272,232.0,0.0,-232.0,0.0,0.0,0.0
<a href=/player/podbb101>podbb101</a>,Bud Podbielan,Brooklyn Dodgers,DOGRS,2,2,3,5,1952,1953,1,No,0,2.7,0.0,-2.7,278,0,-278,152,0,-152,1491.0,0.0,-1491.0,0.0,0.0,0.0
<a href=/player/podgj101>podgj101</a>,Johnny Podgajny,Philadelphia Phillies,PHILS,1,1,1,2,1943,1943,0,No,0,-1.01,-1.01,0.0,36,42,6,7,7,0,103.0,108.0,5.0,0.0,0.0,0.0
<a href=/player/podgj101>podgj101</a>,Johnny Podgajny,Pittsburgh Pirates,PIRATS,2,6,4,10,1943,1950,7,No,0,26.56,10.14,-16.42,1156,549,-607,3340,925,-2415,3832.0,2198.0,-1634.0,0.0,0.0,0.0
<a href=/player/podss001>podss001</a>,Scott Podsednik,Texas Rangers,RNGRS,1,2,1,3,1995,1998,3,No,0,0.0,3.86,3.86,0,95,95,0,7,7,0.0,1618.0,1618.0,109000.0,0.0,-109000.0
<a href=/player/podss001>podss001</a>,Scott Podsednik,Milwaukee Brewers,BREWRS,11,22,22,44,2004,2020,16,Yes,1,50.21,29.77,-20.44,4158,1927,-2231,15837,5622,-10215,987.0,3218.0,2231.0,29855500.0,0.0,-29855500.0
<a href=/player/podss001>podss001</a>,Scott Podsednik,Kansas City Royals,ROYALS,2,2,3,5,2010,2011,1,No,0,-0.69,-0.45,0.24,39,12,-27,160,39,-121,0.0,0.0,0.0,1650000.0,0.0,-1650000.0
