ID,Last,First,nickname,play_debut,HOF
adams102,Adams,Spencer Dewey,Spencer,04/22/1923,NOT
adamt001,Adams,Terry Wayne,Terry,08/10/1995,NOT
adamw001,Adams,William Edward,Willie,06/11/1996,NOT
adamw002,Adames,Willy Rafael,Willy,05/22/2018,NOT
adamw101,Adams,James Irvin,Willie,06/30/1912,NOT
adcoj101,Adcock,Joseph Wilbur,Joe,04/23/1950,NOT
adcon001,Adcock,Nathan Masler,Nathan,03/31/2011,NOT
addib101,Addis,Robert Gordon,Bob,09/01/1950,NOT
adduj001,Adduci,James David,Jim,09/12/1983,NOT
adduj002,Adduci,Jim Charles,Jim,09/01/2013,NOT
addyb101,Addy,Robert Edward,Bob,05/06/1871,NOT
adelj001,Adell,Jordon Scott,Jo,08/04/2020,
adenn001,Adenhart,Nicholas James,Nick,05/01/2008,NOT
aderm101,Aderholt,Morris Woodrow,Morrie,09/13/1939,NOT
adkid101,Adkins,Richard Earl,Dick,09/19/1942,NOT
adkid102,Adkins,Merle Theron,Doc,06/24/1902,NOT
adkid103,Adkins,John Dewey,Dewey,09/19/1942,NOT
adkig101,Adkins,Grady Emmett,Grady,04/13/1928,NOT
adkih101,Atkinson,John Harry,Harry,09/25/1895,NOT
adkij001,Adkins,Jonathan Scott,Jon,08/14/2003,NOT
adkis001,Adkins,Steven Thomas,Steve,09/12/1990,NOT
adled101,Adlesh,David George,Dave,05/12/1963,NOT
adlet001,Adleman,Timothy Max,Tim,05/01/2016,NOT
adonj001,Adon,Joan Manuel,Joan,10/03/2021,
adrie001,Adrianza,Ehire Enrique (Palma),Ehire,09/08/2013,NOT
afent001,Afenir,Michael Troy,Troy,09/14/1987,NOT
affej001,Affeldt,Jeremy David,Jeremy,04/06/2002,NOT
agbab001,Agbayani,Benny Peter,Benny,06/17/1998,NOT
ageet101,Agee,Tommie Lee,Tommie,09/14/1962,NOT
aggah101,Agganis,Harry,Harry,04/13/1954,NOT
aglej101,Agler,Joseph Abram,Joe,10/01/1912,NOT
agnes101,Agnew,Samuel Lester,Sam,04/10/1913,NOT
agosj001,Agosto,Juan Roberto (Gonzalez),Juan,09/07/1981,NOT
agrad001,Agrazal,Dario Abdiel,Dario,06/15/2019,NOT
agual001,Aguayo,Luis (Muriel),Luis,04/19/1980,NOT
aguic001,Aguila,Christopher Louis,Chris,06/28/2004,NOT
aguih101,Aguirre,Henry John,Hank,09/10/1955,NOT
aguij001,Aguilar,Jesus Alexander,Jesus,05/15/2014,NOT
aguim001,Aguilar,Miguel Armando,Miguel,07/30/2021,
aguir001,Aguilera,Richard Warren,Rick,06/12/1985,NOT
aheac101,Ahearn,William H.,William,06/19/1880,NOT
aheap001,Ahearne,Patrick Howard,Pat,06/14/1995,NOT
ahmen001,Ahmed,Nicholas Mark,Nick,06/29/2014,NOT
aikew001,Aikens,Willie Mays,Willie,05/17/1977,NOT
