signed,FreeAgent,year,first_signed,last_signed,first_fa,last_fa,signed_retroid,fa_retroid
Matt Barnes,Victor Martinez,2011,Matt,Barnes,Victor,Martinez,barnm001,martv001
Alex Meyer,Adam Dunn,2011,Alex,Meyer,Adam,Dunn,meyea001,dunna001
Taylor Guerrieri,Carl Crawford,2011,Taylor,Guerrieri,Carl,Crawford,guert002,crawc002
Blake Swihart,Adrian Beltre,2011,Blake,Swihart,Adrian,Beltre,swihb001,belta001
Mikie Mahtook,Rafael Soriano,2011,Mikie,Mahtook,Rafael,Soriano,mahtm001,sorir001
Kevin Matthews,Cliff Lee,2011,Kevin,Matthews,Cliff,Lee,Kevin Matthews,lee-c003
Brian Goodwin,Adam Dunn,2011,Brian,Goodwin,Adam,Dunn,goodb001,dunna001
Jacob Anderson,Scott Downs,2011,Jacob,Anderson,Scott,Downs,Jacob Anderson,downs001
Henry Owens,Victor Martinez,2011,Henry,Owens,Victor,Martinez,owenh002,martv001
Zach Cone,Cliff Lee,2011,Zach,Cone,Cliff,Lee,Zach Cone,lee-c003
Brandon Martin,Rafael Soriano,2011,Brandon,Martin,Rafael,Soriano,Brandon Martin,sorir001
Larry Greene,Jayson Werth,2011,Larry,Greene,Jayson,Werth,Larry Greene,wertj001
Jackie Bradley Jr.,Adrian Beltre,2011,Jackie,Bradley,Adrian,Beltre,bradj001,belta001
Tyler Goeddel,Carl Crawford,2011,Tyler,Goeddel,Carl,Crawford,goedt001,crawc002
Jeff Ames,Grant Balfour,2011,Jeff,Ames,Grant,Balfour,Jeff Ames,balfg001
Andrew Chafin,Adam LaRoche,2011,Andrew,Chafin,Adam,LaRoche,chafa001,laroa001
Michael Fulmer,Pedro Feliciano,2011,Michael,Fulmer,Pedro,Feliciano,fulmm001,felip002
Trevor Story,Octavio Dotel,2011,Trevor,Story,Octavio,Dotel,stort001,doteo001
Joe Musgrove,John Buck,2011,Joe,Musgrove,John,Buck,musgj001,buckj001
Keenyn Walker,J.J. Putz,2011,Keenyn,Walker,J.J.,Putz,Keenyn Walker,putzj001
Michael Kelly,Jon Garland,2011,Michael,Kelly,Jon,Garland,Michael Kelly,garlj001
Kyle Crick,Juan Uribe,2011,Kyle,Crick,Juan,Uribe,crick001,uribj002
Travis Harrison,Orlando Hudson,2011,Travis,Harrison,Orlando,Hudson,Travis Harrison,hudso001
Dante Bichette,Javier Vazquez,2011,Dante,Bichette,Javier,Vazquez,bichd001,vazqj001
Blake Snell,Brad Hawpe,2011,Blake,Snell,Brad,Hawpe,snelb001,hawpb001
Dwight Smith Jr.,Kevin Gregg,2011,Dwight,Smith Jr.,Kevin,Gregg,smitd007,gregk001
Walker Weickel,Yorvit Torrealba,2011,Walker,Weickel,Yorvit,Torrealba,Walker Weickel,torry001
Hudson Boyd,Jesse Crain,2011,Hudson,Boyd,Jesse,Crain,Hudson Boyd,craij001
Kes Carter,Joaquin Benoit,2011,Kes,Carter,Joaquin,Benoit,Kes Carter,benoj001
Kevin Comer,Miguel Olivo,2011,Kevin,Comer,Miguel,Olivo,Kevin Comer,olivm001
Jace Peterson,Kevin Correia,2011,Jace,Peterson,Kevin,Correia,petej002,corrk001
Grayson Garvin,Randy Choate,2011,Grayson,Garvin,Randy,Choate,Grayson Garvin,choar001
James Harris,Chad Qualls,2011,James,Harris,Chad,Qualls,harrf101,qualc001
Roman Quinn,Jayson Werth,2011,Roman,Quinn,Jayson,Werth,quinr003,wertj001
Daniel Norris,Scott Downs,2011,Daniel,Norris,Scott,Downs,norrd002,downs001
Granden Goetzman,Grant Balfour,2011,Granden,Goetzman,Grant,Balfour,Granden Goetzman,balfg001
Michael Wacha,Albert Pujols,2012,Michael,Wacha,Albert,Pujols,wachm001,pujoa001
Clint Coulter,Prince Fielder,2012,Clint,Coulter,Prince,Fielder,Clint Coulter,fielp001
Brian Johnson,Jonathan Papelbon,2012,Brian,Johnson,Jonathan,Papelbon,johnb004,papej001
Jose Berrios,Michael Cuddyer,2012,Jose,Berrios,Michael,Cuddyer,berrj001,cuddm001
Zach Eflin,Heath Bell,2012,Zach,Eflin,Heath,Bell,efliz001,bellh001
Daniel Robertson,Josh Willingham,2012,Daniel,Robertson,Josh,Willingham,robed004,willj004
Kevin Plawecki,Jose Reyes,2012,Kevin,Plawecki,Jose,Reyes,plawk001,reyej001
Stephen Piscotty,Albert Pujols,2012,Stephen,Piscotty,Albert,Pujols,piscs001,pujoa001
Pat Light,Jonathan Papelbon,2012,Pat,Light,Jonathan,Papelbon,lighp001,papej001
Mitch Haniger,Prince Fielder,2012,Mitch,Haniger,Prince,Fielder,hanim001,fielp001
Joey Gallo,C.J. Wilson,2012,Joey,Gallo,C.J.,Wilson,gallj002,wilsc004
Shane Watson,Ryan Madson,2012,Shane,Watson,Ryan,Madson,Shane Watson,madsr001
Lance McCullers Jr.,Clint Barmes,2012,Lance,McCullers Jr.,Clint,Barmes,mccul002,barmc001
Luke Bard,Jason Kubel,2012,Luke,Bard,Jason,Kubel,bardl001,kubej002
Pierce Johnson,Aramis Ramirez,2012,Pierce,Johnson,Aramis,Ramirez,johnp001,ramia001
Travis Jankowski,Aaron Harang,2012,Travis,Jankowski,Aaron,Harang,jankt001,haraa001
Barrett Barnes,Ryan Doumit,2012,Barrett,Barnes,Ryan,Doumit,Barrett Barnes,doumr001
Eddie Butler,Mark Ellis,2012,Eddie,Butler,Mark,Ellis,butle001,ellim001
Matt Olson,David DeJesus,2012,Matt,Olson,David,DeJesus,olsom001,dejed001
Keon Barnum,Mark Buehrle,2012,Keon,Barnum,Mark,Buehrle,Keon Barnum,buehm001
Jesse Winker,Ramon Hernandez,2012,Jesse,Winker,Ramon,Hernandez,winkj002,hernr002
Matt Smoral,Frank Francisco,2012,Matt,Smoral,Frank,Francisco,Matt Smoral,franf001
Jesmuel Valentin,Rod Barajas,2012,Jesmuel,Valentin,Rod,Barajas,valej006,barar001
Patrick Wisdom,Octavio Dotel,2012,Patrick,Wisdom,Octavio,Dotel,wisdp001,doteo001
Collin Wiles,Darren Oliver,2012,Collin,Wiles,Darren,Oliver,Collin Wiles,olivd001
Mitch Gueller,Raul Ibanez,2012,Mitch,Gueller,Raul,Ibanez,Mitch Gueller,ibanr001
Paul Blackburn,Carlos Pena,2012,Paul,Blackburn,Carlos,Pena,blacp001,penac001
Jeff Gelalich,Francisco Cordero,2012,Jeff,Gelalich,Francisco,Cordero,Jeff Gelalich,cordf002
Mitch Nay,Jon Rauch,2012,Mitch,Nay,Jon,Rauch,Mitch Nay,raucj001
Steve Bean,Edwin Jackson,2012,Steve,Bean,Edwin,Jackson,Steve Bean,jacke001
Tyler Gonzales,Jose Molina,2012,Tyler,Gonzales,Jose,Molina,Tyler Gonzales,molij001
Bruce Maxwell,Josh Willingham,2012,Bruce,Maxwell,Josh,Willingham,maxwb001,willj004
Dane Phillips,Heath Bell,2012,Dane,Phillips,Heath,Bell,Dane Phillips,bellh001
Matt Reynolds,Jose Reyes,2012,Matt,Reynolds,Jose,Reyes,reynm003,reyej001
JT Chargois,Michael Cuddyer,2012,JT,Chargois,Michael,Cuddyer,JT Chargois,cuddm001
Dylan Cozens,Ryan Madson,2012,Dylan,Cozens,Ryan,Madson,cozed001,madsr001
Jamie Jarmon,C.J. Wilson,2012,Jamie,Jarmon,C.J.,Wilson,Jamie Jarmon,wilsc004
Rob Kaminsky,Kyle Lohse,2013,Rob,Kaminsky,Kyle,Lohse,kamir001,lohsk001
Ryne Stanek,B.J. Upton,2013,Ryne,Stanek,B.J.,Upton,stanr002,uptob001
Travis Demeritte,Josh Hamilton,2013,Travis,Demeritte,Josh,Hamilton,demet001,hamij003
Jason Hursh,Michael Bourn,2013,Jason,Hursh,Michael,Bourn,hursj004,bourm001
Aaron Judge,Nick Swisher,2013,Aaron,Judge,Nick,Swisher,judga001,swisn001
Ian Clarkin,Rafael Soriano,2013,Ian,Clarkin,Rafael,Soriano,Ian Clarkin,sorir001
