signed,FreeAgent,year,first_signed,last_signed,first_fa,last_fa,signed_retroid,fa_retroid
Huston Street,Miguel Tejada,2004,Huston,Street,Miguel,Tejada,streh001,tejam001
Jeff Marquez,David Wells,2004,Jeff,Marquez,David,Wells,Jeff Marquez,welld001
Brett Smith,David Wells,2004,Brett,Smith,David,Wells,Brett Smith,welld001
Michael Rogers,Miguel Tejada,2004,Michael,Rogers,Miguel,Tejada,Michael Rogers,tejam001
Wes Whisler,Bartolo Colon,2004,Wes,Whisler,Bartolo,Colon,whisw001,colob001
Erik Cordier,Raul Ibanez,2004,Erik,Cordier,Raul,Ibanez,corde001,ibanr001
Ray Liotta,Tom Gordon,2004,Ray,Liotta,Tom,Gordon,Ray Liotta,gordt001
Adam Lind,Kelvim Escobar,2004,Adam,Lind,Kelvim,Escobar,linda001,escok001
C.J. Henry,Jon Lieber,2005,C.J.,Henry,Jon,Lieber,C.J. Henry,liebj001
Aaron Thompson,Armando Benitez,2005,Aaron,Thompson,Armando,Benitez,thoma003,benia001
Jacoby Ellsbury,Orlando Cabrera,2005,Jacoby,Ellsbury,Orlando,Cabrera,ellsj001,cabro001
Craig Hansen,Derek Lowe,2005,Craig,Hansen,Derek,Lowe,hansc001,lowed001
Colby Rasmus,Edgar Renteria,2005,Colby,Rasmus,Edgar,Renteria,rasmc001,rente001
Jacob Marceaux,Carl Pavano,2005,Jacob,Marceaux,Carl,Pavano,Jacob Marceaux,pavac001
Matt Torra,Richie Sexson,2005,Matt,Torra,Richie,Sexson,Matt Torra,sexsr001
Chaz Roe,Vinny Castilla,2005,Chaz,Roe,Vinny,Castilla,roe-c001,castv001
Johnny Drennen,Omar Vizquel,2005,Johnny,Drennen,Omar,Vizquel,Johnny Drennen,vizqo001
Ryan Tucker,Armando Benitez,2005,Ryan,Tucker,Armando,Benitez,tuckr001,benia001
Cesar Ramos,David Wells,2005,Cesar,Ramos,David,Wells,ramoc001,welld001
Travis Buck,Damian Miller,2005,Travis,Buck,Damian,Miller,buckt001,milld002
Trevor Bell,Troy Percival,2005,Trevor,Bell,Troy,Percival,bellt002,perct001
Eli Iorg,Carlos Beltran,2005,Eli,Iorg,Carlos,Beltran,Eli Iorg,beltc001
Hank Sanchez,Corey Koskie,2005,Hank,Sanchez,Corey,Koskie,Hank Sanchez,koskc001
Luke Hochevar,Adrian Beltre,2005,Luke,Hochevar,Adrian,Beltre,hochl001,belta001
Beau Jones,Jaret Wright,2005,Beau,Jones,Jaret,Wright,Beau Jones,wrigj002
Clay Buchholz,Pedro Martinez,2005,Clay,Buchholz,Pedro,Martinez,buchc001,martp001
Mark McCormick,Edgar Renteria,2005,Mark,McCormick,Edgar,Renteria,Mark McCormick,rente001
Sean West,Carl Pavano,2005,Sean,West,Carl,Pavano,wests001,pavac001
Jed Lowrie,Orlando Cabrera,2005,Jed,Lowrie,Orlando,Cabrera,lowrj001,cabro001
Tyler Herron,Mike Matheny,2005,Tyler,Herron,Mike,Matheny,Tyler Herron,mathm001
Michael Bowden,Derek Lowe,2005,Michael,Bowden,Derek,Lowe,bowdm001,lowed001
Ivan De Jesus,Adrian Beltre,2005,Ivan,De Jesus,Adrian,Beltre,dejei002,belta001
Daniel Carte,Vinny Castilla,2005,Daniel,Carte,Vinny,Castilla,Daniel Carte,castv001
Craig Italiano,Damian Miller,2005,Craig,Italiano,Damian,Miller,Craig Italiano,milld002
Paul Kelly,Corey Koskie,2005,Paul,Kelly,Corey,Koskie,Paul Kelly,koskc001
Jonathan Egan,Pedro Martinez,2005,Jonathan,Egan,Pedro,Martinez,Jonathan Egan,martp001
Ryan Mount,Troy Percival,2005,Ryan,Mount,Troy,Percival,Ryan Mount,perct001
J.B. Cox,Orlando Hernandez,2005,J.B.,Cox,Orlando,Hernandez,J.B. Cox,herno001
Josh Wilson,Mike Matheny,2005,Josh,Wilson,Mike,Matheny,wilsj003,mathm001
Nick Hundley,David Wells,2005,Nick,Hundley,David,Wells,hundn001,welld001
Jeff Lyman,Jaret Wright,2005,Jeff,Lyman,Jaret,Wright,Jeff Lyman,wrigj002
Brett Hayes,Mike Redmond,2005,Brett,Hayes,Mike,Redmond,hayeb001,redmm001
Drew Thompson,Henry Blanco,2005,Drew,Thompson,Henry,Blanco,Drew Thompson,blanh001
Micah Owings,Richie Sexson,2005,Micah,Owings,Richie,Sexson,owinm001,sexsr001
Brian Duensing,Cristian Guzman,2005,Brian,Duensing,Cristian,Guzman,duenb001,guzmc001
Tommy Manzella,Carlos Beltran,2005,Tommy,Manzella,Carlos,Beltran,manzt001,beltc001
Jensen Lewis,Omar Vizquel,2005,Jensen,Lewis,Omar,Vizquel,lewij003,vizqo001
Mike Billek,Matt Clement,2005,Mike,Billek,Matt,Clement,Mike Billek,clemm001
